transaction_id,date,user_id,merchant,amount
1,2026/02/19,083902387,Amazon,$69.30
2,2026/02/18,061308770,Target,$596.22
3,2026/02/12,083905449,Walmart,$229.56
4,2026/02/05,231372170,Amazon,$196.54
5,2026/01/03,061211197,Etsy,$115.32
6,2026/01/18,063210112,Amazon,$51.27
7,2026/02/09,261270417,eBay,$66.89
8,2026/03/10,041202511,Walmart,$417.94
9,2026/02/21,111306059,Walmart,$118.49
10,2026/02/11,111901467,Walmart,$554.86
11,2026/01/04,104902363,Target,$328.59
12,2026/01/29,026073079,Target,$526.41
13,2026/01/04,226070270,Etsy,$43.66
14,2026/01/30,053900377,Target,$38.42
15,2026/03/15,111909605,Best Buy,$350.20
16,2026/01/26,101104795,Target,$338.00
17,2026/01/19,283972162,Walmart,$171.27
18,2026/01/06,042102555,Amazon,$275.45
19,2026/02/17,104903362,Etsy,$76.69
20,2026/03/25,102004519,Etsy,$537.40
21,2026/01/15,091210074,Amazon,$436.48
22,2026/01/24,122239131,Target,$302.34
23,2026/02/13,061106121,Etsy,$419.28
24,2026/03/13,084307790,Etsy,$379.96
25,2026/02/02,091101455,Target,$234.22
26,2026/01/17,075907413,Target,$430.59
27,2026/01/19,103000619,Target,$224.57
28,2026/01/21,111320006,eBay,$136.49
29,2026/01/17,102103708,eBay,$164.90
30,2026/02/21,091902049,Best Buy,$558.14
31,2026/01/27,061000256,Target,$405.65
32,2026/02/13,286573322,Walmart,$474.45
33,2026/03/08,107000262,Best Buy,$429.28
34,2026/01/28,021502095,Target,$204.58
35,2026/02/16,264272027,Etsy,$433.50
36,2026/02/09,063107623,Etsy,$131.67
37,2026/02/13,064004181,eBay,$36.81
38,2026/01/07,103107046,Target,$502.16
39,2026/02/07,071001685,eBay,$591.10
40,2026/03/19,011201306,eBay,$25.47
41,2026/01/01,111308057,Best Buy,$443.86
42,2026/01/28,084004284,Amazon,$131.48
43,2026/01/21,043000630,Target,$49.61
44,2026/01/06,284272654,Etsy,$255.80
45,2026/01/26,061106121,Walmart,$122.55
46,2026/01/20,061104275,Target,$440.21
47,2026/03/17,274970717,Best Buy,$215.36
48,2026/02/07,325182551,eBay,$74.48
49,2026/02/10,103107486,Target,$410.84
