merchant,transaction_month,unique_customers,total_revenue,avg_transaction_value
Target,2026-01,19,6367.389999999999,335.12578947368416
eBay,2026-01,17,5722.84,336.6376470588235
Walmart,2026-01,11,3574.81,324.9827272727273
Best Buy,2026-01,7,2349.28,335.6114285714286
Etsy,2026-01,7,2105.13,300.73285714285714
Amazon,2026-01,8,1935.29,241.91125
Target,2026-02,13,4778.66,367.58923076923077
Walmart,2026-02,17,4168.64,245.21411764705886
Etsy,2026-02,13,4086.44,314.34153846153845
eBay,2026-02,11,3277.69,297.9718181818182
Best Buy,2026-02,9,2673.73,297.0811111111111
Amazon,2026-02,7,2023.0800000000002,289.0114285714286
Best Buy,2026-03,14,4373.18,312.37
Etsy,2026-03,11,3163.8599999999997,287.6236363636363
Amazon,2026-03,12,2895.59,241.29916666666668
Walmart,2026-03,9,2551.07,283.45222222222225
eBay,2026-03,7,2446.57,349.51000000000005
Target,2026-03,8,2406.09,300.76125
